页面排名,接口名称,二级分类,页面展示调用量,估算调用次数,功能说明
1,财经资讯,公开内容,364.4万,3644000,检索财经资讯内容并提取核心事件摘要信息
2,搜索基金,基金数据,124.2万,1242000,按多维条件搜索筛选目标基金产品清单
3,基金经理观点,盈米生产,83.8万,838000,检索基金经理公开观点表态及市场看法内容
4,基金净值历史,基金数据,45.1万,451000,批量获取基金历史净值走势及区间表现数据
5,基金代码模糊匹配,金融工具,38.4万,384000,将模糊基金名称智能匹配为准确基金代码
6,批量获取基金详情,基金数据,30.5万,305000,批量获取基金基础详情及产品属性信息
7,基金诊断,投前分析,25.0万,250000,对单只基金进行多维度的全景量化诊断分析
8,获取资产配置方案,投资顾问,21.6万,216000,基于目标需求生成匹配的资产配置规划方案
9,批量获取基金业绩表现,基金数据,12.5万,125000,批量对比基金业绩表现及收益风险指标情况
10,获取近期热门基金,投前分析,12.3万,123000,获取当前市场热度较高的热门基金产品列表
11,基金风险分析,基金数据,9.6万,96000,评估单只或多只基金的风险收益特征与暴露
12,市场温度计,投前分析,6.5万,65000,输出市场温度指标及核心宽基指数行情快照
13,策略关键词搜索,投资顾问,5.7万,57000,按关键词快速搜索匹配相关投顾策略产品
14,获取当前时间,常用工具,4.9万,49000,获取系统当前时间及相关基准时间信息
15,基金交易限制信息,基金数据,4.6万,46000,批量查询基金交易状态限额及申赎限制信息
16,权益仓位偏好,基金数据,3.4万,34000,测算基金长期权益仓位及攻守属性
17,搜索投顾内容,盈米生产,3.4万,34000,检索投顾观点研报内容及相关策略解读信息
18,基金分红记录,基金数据,3.4万,34000,批量获取基金历史分红记录及分红明细信息
19,策略详情查询,策略数据,3.3万,33000,一站式查询投顾策略的全量详情与核心信息
20,热点财经话题榜单,公开内容,3.3万,33000,聚合当前市场热点话题并提炼背后驱动逻辑
21,行业配置比例,基金数据,3.1万,31000,解析基金当前或历史季度的行业配置比例分布
22,基金交易规则,基金数据,2.9万,29000,查询基金申购赎回确认时间及费率交易规则
